"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,1,http://dx.doi.org/10.1145/365024.365107,Beyond command knowledge: identifying and teaching strategic knowledge for using complex computer applications,7,0,23,636,"curriculum; experimentation; human factors; management; performance; theory; training, help, and documentation",8,"81100435759, Suresh K. Bhavnani, School of Information, University of Michigan, Ann Arbor, MI; 81100564883, Frederick Reif, Center for Innovation in Learning, Carnegie Mellon University, Pittsburgh, PA; 81100482886, Bonnie E. John, HCI Institute, Carnegie Mellon University, Pittsburgh, PA; "
CHI,1,http://dx.doi.org/10.1145/365024.365109,Teachers as simulation programmers: minimalist learning and reuse,5,0,18,625,"curriculum; general; management; simulations; theory; training, help, and documentation",8,"81335496622, Mary Beth Rosson, Department of Computer Science, Virginia Tech, Blacksburg, VA; 81332526317, Cheryl D. Seals, Department of Computer Science, Virginia Tech, Blacksburg, VA; "
CHI,1,http://dx.doi.org/10.1145/365024.365111,"Locus of feedback control in computer-based tutoring: impact on learning rate, achievement and attitudes",31,8,64,"1,090",computer uses in education; feedback in problem solving; instructional interface design; management; performance; theory; user/machine systems,8,"81100192841, Albert T. Corbett, Human Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA; 81363598414, John R. Anderson, Psychology &amp; Computer Science Departments, Carnegie Mellon University, Pittsburgh, PA; "
CHI,1,http://dx.doi.org/10.1145/365024.365112,Sensetable: a wireless object tracking platform for tangible user interfaces,91,12,128,"1,564","artificial, augmented, and virtual realities; design; interaction techniques; management; performance; tangible user interface; two-handed manipulation; virtual reality",8,"81100339352, James Patten, Tangible Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA; 81100363076, Hiroshi Ishii, Tangible Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA; 81332504228, Jim Hines, System Dynamics Group, MIT Sloan School of Management, 50 Memorial Drive, Cambridge, MA; 81100297437, Gian Pangaro, Tangible Media Group, MIT Media Lab, 20 Ames Street, Cambridge, MA; "
CHI,1,http://dx.doi.org/10.1145/365024.365114,Surface drawing: creating organic 3D shapes with the hand and tangible tools,63,24,195,"2,113","3d modeling; curve, surface, solid, and object representations; design prototyping; fine arts; human factors; interaction techniques; performance; semi-immersive environment; theory",8,"81100001340, Steven Schkolne, Bell Labs; 81100420528, Michael Pruett; 81100117380, Peter Schr&#246;der; "
CHI,1,http://dx.doi.org/10.1145/365024.365115,DataTiles: a modular platform for mixed physical and graphical interactions,80,6,88,"1,537",design; graphical user interfaces; interaction styles; interaction techniques; performance; tangible user interfaces; visual language,8,"81100008564, Jun Rekimoto, Interaction Laboratory, Sony Computer Science Laboratories, Inc., 3-14-13 Higashigotanda, Shinagawa-ku, Tokyo 141-0022 Japan; 81100226633, Brygg Ullmer, Tangible Media Group, MIT Media Laboratory, 20 Ames Street, Cambridge, MA; 81100154483, Haruo Oba, Interaction Laboratory, Sony Computer Science Laboratories, Inc., 3-14-13 Higashigotanda, Shinagawa-ku, Tokyo 141-0022 Japan; "
CHI,1,http://dx.doi.org/10.1145/365024.365116,Optimizing search by showing results in context,84,9,58,"1,537",design; human factors; measurement; search; text categorization; usability; user study; web-based services,8,"81100134501, Susan Dumais, Microsoft Research, One Microsoft Way, Redmond, WA; 81100506242, Edward Cutrell, Microsoft Research, One Microsoft Way, Redmond, WA; 81540489656, Hao Chen, Computer Science Division, University of California, Berkeley, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365117,Robust annotation positioning in digital documents,32,3,54,"1,152",algorithms; annotation system design; digital; document capture; documents; general; management; performance; theory; user/machine systems,8,"81332491415, A. J. Bernheim Brush, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; 81100187010, David Bargeron, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; 81452611908, Anoop Gupta, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; 81100025873, J. J. Cadiz, Collaboration and Multimedia Systems Group, Microsoft Research, Redmond, WA; "
CHI,1,http://dx.doi.org/10.1145/365024.365118,"Reading of electronic documents: the usability of linear, fisheye, and overview+detail interfaces",47,12,70,"1,583",design; document capture; electronic documents; human factors; information visualization; reading activity; theory; user interfaces; user/machine systems,8,"81100047223, Kasper Hornb&#230;k, Department of Computing, University of Copenhagen, Copenhagen East, Denmark; 81100265136, Erik Fr&#248;kj&#230;r; "
CHI,1,http://dx.doi.org/10.1145/365024.365119,Eye gaze patterns in conversations: there is more to conversational agents than meets the eyes,90,29,210,"2,128",attention-based interfaces; conversational attention; gaze; languages; measurement; multiparty communication; theory,8,"81100497077, Roel Vertegaal, Queen's University, Canada; 81100136322, Robert Slagter, Vrije Universiteit, The Netherlands; 81100545115, Gerrit van der Veer, Twente University, The Netherlands; 81100266861, Anton Nijholt; "
